NoFib Results

--------------------------------------------------------------------------------
        Program         Allocs    Instrs
   cryptarithm2              5018149             0.0%
            cse              5023309             0.0%
   digits-of-e1              5009849             0.0%
   digits-of-e2              5011265             0.0%
          eliza              5035373             0.0%
          event              5026737             0.0%
    exact-reals              5120477             0.0%
         exp3_8              5011641             0.0%
         expert              5181833             0.0%
 fannkuch-redux              5013057             0.0%
          fasta              6156202             0.0%
            fem              5136357             0.0%
            fft              6003505             0.0%
           fft2              6011849             0.0%
       fibheaps              5030521             0.0%
           fish              5025269             0.0%
          fluid              5415445             0.0%
         fulsom              5220705             0.0%
         gamteb              5062597             0.0%
            gcd              5008545             0.0%
    gen_regexps              4998517             0.0%
         genfft              5029825             0.0%
             gg              5313537             0.0%
           grep              5168657             0.0%
         hidden              5114321             0.0%
            hpg              5160097             0.0%
            ida              5048601             0.0%
          infer              5114333             0.0%
        integer              5013249             0.0%
      integrate              5011833             0.0%
   k-nucleotide              5998910             0.0%
          kahan              5285393             0.0%
        knights              5054329             0.0%
         lambda              5217825             0.0%
     last-piece              6410461             0.0%
           lcss              5016297             0.0%
           life              5000605             0.0%
           lift              5205349             0.0%
         linear              5130605             0.0%
      listcompr              5016421             0.0%
       listcopy              5016709             0.0%
       maillist              5002693             0.0%
         mandel              5987501             0.0%
        mandel2              5002557             0.0%
           mate              5130249             0.0%
        minimax              5147405             0.0%
        mkhprog              5043017             0.0%
     multiplier              5057313             0.0%
         n-body              5086937             0.0%
       nucleic2              5167613             0.0%
           para              5086913             0.0%
      paraffins              5026369             0.0%
         parser              5231669             0.0%
        parstof              5165997             0.0%
            pic              5045101             0.0%
       pidigits              5010433             0.0%
          power              5056889             0.0%
         pretty              5021493             0.0%
         primes              5006865             0.0%
      primetest              5013093             0.0%
         prolog              5056589             0.0%
         puzzle              5033829             0.0%
         queens              5006617             0.0%
        reptile              5182173             0.0%
reverse-complem              4996966             0.0%
        rewrite              5065073             0.0%
           rfib              5005601             0.0%
            rsa              5003101             0.0%
            scc              4995829             0.0%
          sched              5030121             0.0%
            scs              5309113             0.0%
         simple              5267813             0.0%
          solid              5060033             0.0%
        sorting              5013021             0.0%
  spectral-norm              5081881             0.0%
         sphere              5100617             0.0%
         symalg              5121373             0.0%
            tak              5006505             0.0%
      transform              5183793             0.0%
       treejoin              5017969             0.0%
      typecheck              5051561             0.0%
        veritas              5930765             0.0%
           wang              5030105             0.0%
      wave4main              5032265             0.0%
   wheel-sieve1              5019873             0.0%
   wheel-sieve2              5015185             0.0%
           x2n1              5007961             0.0%
        -1 s.d.                -----            -0.0%
        +1 s.d.                -----            +0.0%
        Average                -----            -0.0%

Allocations

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS            640050720             0.0%
            CSD           1600050808             0.0%
             FS           1760050672             0.0%
              S            240050616             0.0%
             VS           3123117584             0.0%
            VSD                50776             0.0%
            VSM           2960050776             0.0%
           anna             67800648             0.0%
           ansi               106632             0.0%
           atom            542524128             0.0%
         awards               272152             0.0%
         banner               264824             0.0%
     bernouilli            253363648             0.0%
   binary-trees            956460608             0.0%
          boyer             59081992             0.0%
         boyer2              3412744             0.0%
           bspt             10907024             0.0%
       calendar               786432             0.0%
       cichelli             61916584             0.0%
        circsim           1234826256             0.0%
       clausify             31918496             0.0%
  comp_lab_zift            286551696             0.0%
       compress            284958816             0.0%
      compress2             89754280             0.0%
    constraints           2106422944             0.0%
   cryptarithm1           2051819152             0.0%
   cryptarithm2             12775264             0.0%
            cse              1228888             0.0%
   digits-of-e1            496516384             0.0%
   digits-of-e2           1016410088             0.0%
          eliza               712560             0.0%
          event            129683096             0.0%
    exact-reals           2523313568             0.0%
         exp3_8            597578992             0.0%
         expert               361696             0.0%
 fannkuch-redux            870976600             0.0%
          fasta            246756704             0.0%
            fem             51455960             0.0%
            fft             21721840             0.0%
           fft2             44495872             0.0%
       fibheaps             37725648             0.0%
           fish             17351984             0.0%
          fluid              6519128             0.0%
         fulsom            280752272             0.0%
         gamteb             47969888             0.0%
            gcd             48214384             0.0%
    gen_regexps               205224             0.0%
         genfft             64609384             0.0%
             gg              8822848             0.0%
           grep                71824             0.0%
         hidden           1066241464             0.0%
            hpg             80444352             0.0%
            ida            123174560             0.0%
          infer             29410592             0.0%
        integer           4111086600             0.0%
      integrate            184457920             0.0%
   k-nucleotide           1089554128             0.0%
          kahan              1590472             0.0%
        knights              2001712             0.0%
         lambda           1508284352             0.0%
     last-piece            572577216             0.0%
           lcss            330721768             0.0%
           life            492406312             0.0%
           lift               819736             0.0%
         linear           2833810008             0.0%
      listcompr            312283856             0.0%
       listcopy            342331856             0.0%
       maillist             89197080             0.0%
         mandel             74826344             0.0%
        mandel2               922640             0.0%
           mate           9297042104             0.0%
        minimax              5371584             0.0%
        mkhprog              3288200             0.0%
     multiplier            207188816             0.0%
         n-body               165640             0.0%
       nucleic2            121358448             0.0%
           para            508739464             0.0%
      paraffins             55783120             0.0%
         parser             32214656             0.0%
        parstof              3039040             0.0%
            pic              3495224             0.0%
       pidigits           3116799976             0.0%
          power            153721968             0.0%
         pretty               141224             0.0%
         primes            108520776             0.0%
      primetest             57430816             0.0%
         prolog              1585136             0.0%
         puzzle            104414336             0.0%
         queens              6297768             0.0%
        reptile             16804792             0.0%
reverse-complem             85535568             0.0%
        rewrite             16270504             0.0%
           rfib               107600             0.0%
            rsa             14348176             0.0%
            scc                58376             0.0%
          sched             37358064             0.0%
            scs            902769528             0.0%
         simple             72425896             0.0%
          solid            178092640             0.0%
        sorting              1270656             0.0%
  spectral-norm               224296             0.0%
         sphere             83202608             0.0%
         symalg              1422472             0.0%
            tak                98392             0.0%
      transform            684223064             0.0%
       treejoin            105366936             0.0%
      typecheck            317751080             0.0%
        veritas              1435616             0.0%
           wang             92712784             0.0%
      wave4main            112313928             0.0%
   wheel-sieve1             14380824             0.0%
   wheel-sieve2             88757792             0.0%
           x2n1               377576             0.0%
        -1 s.d.                -----            -0.0%
        +1 s.d.                -----            +0.0%
        Average                -----            -0.0%

Run Time

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS                9.764            +2.1%
            CSD               28.824            +0.4%
             FS               19.903            +8.1%
              S               30.870            +3.9%
             VS               67.692            +3.1%
            VSD                0.370            +5.7%
            VSM               59.617            +2.2%
           anna                3.304            +8.7%
           ansi                0.158            +5.1%
           atom                8.016            +0.3%
         awards                0.140            +7.9%
         banner                0.146            +2.1%
     bernouilli                6.761            -9.1%
   binary-trees               22.530            +0.2%
          boyer                1.290            +3.6%
         boyer2                0.374            +3.5%
           bspt                0.427            +5.9%
       calendar                0.143            +4.2%
       cichelli                2.649            +4.0%
        circsim               23.015            +5.2%
       clausify                0.981            +1.1%
  comp_lab_zift                5.105            +3.7%
       compress                4.374            +8.3%
      compress2                3.977            +4.6%
    constraints               79.937            +4.3%
   cryptarithm1               20.404            +2.4%
   cryptarithm2                0.375            +4.5%
            cse                0.243            +2.1%
   digits-of-e1               38.112           -40.1%
   digits-of-e2               34.662            +0.2%
          eliza                0.173            +4.0%
          event                4.229           +17.9%
    exact-reals              118.433           +10.1%
         exp3_8                4.944            +6.8%
         expert                0.202            +4.0%
 fannkuch-redux              128.032            +3.8%
          fasta                7.916            +2.0%
            fem                0.829            +2.4%
            fft                1.094            +4.3%
           fft2                1.641           +27.1%
       fibheaps                0.847            +2.7%
           fish                0.430            +4.7%
          fluid                0.804            +1.4%
         fulsom                7.459            +7.4%
         gamteb                1.374            +2.8%
            gcd                1.271           +28.8%
    gen_regexps                0.111            +5.4%
         genfft                0.990            +3.8%
             gg                0.565            +4.8%
           grep                0.123            +3.3%
         hidden               14.960            +6.6%
            hpg                2.475            +6.7%
            ida                2.363            +5.1%
          infer                1.818            +6.5%
        integer               64.597            +6.1%
      integrate                2.504            +5.1%
   k-nucleotide              142.483            +7.5%
          kahan                5.926           +11.4%
        knights                0.309            +8.1%
         lambda               44.072            +4.5%
     last-piece               16.479            +3.2%
           lcss               11.226            +1.8%
           life                7.734            +5.4%
           lift                0.197            +4.1%
         linear               61.560            +4.9%
      listcompr                2.701            -1.1%
       listcopy                2.709            +5.8%
       maillist                0.810            +6.9%
         mandel                2.436            +7.8%
        mandel2                0.144            +2.1%
           mate              160.017            +4.6%
        minimax                0.253            +2.8%
        mkhprog                0.229            +1.3%
     multiplier                3.044            +5.2%
         n-body               22.760            +3.8%
       nucleic2                2.557            +3.0%
           para                9.176            +0.5%
      paraffins                3.509            -0.8%
         parser                0.995            +3.4%
        parstof                0.374            +4.3%
            pic                0.409            +3.4%
       pidigits               18.373           +12.7%
          power               10.914            +7.5%
         pretty                0.108            +5.6%
         primes                1.823            +5.6%
      primetest                4.359            +2.1%
         prolog                0.346            -4.0%
         puzzle                3.752            +3.3%
         queens                0.457            -0.7%
        reptile                0.539            +3.9%
reverse-complem                3.505            +9.6%
        rewrite                0.694            +7.8%
           rfib                0.401           +28.4%
            rsa                1.179            +2.5%
            scc                0.097            0.104
          sched                0.800            +5.0%
            scs               16.826            +2.2%
         simple                5.786            +4.2%
          solid                4.236            +2.7%
        sorting                0.245            +3.3%
  spectral-norm               26.275            -2.7%
         sphere                2.034            +4.7%
         symalg                0.611            +2.1%
            tak                0.279            +4.7%
      transform                8.891            +4.0%
       treejoin                3.256            +4.8%
      typecheck                6.343            +2.1%
        veritas                0.386            +3.4%
           wang                2.712            +4.6%
      wave4main                8.266            +3.1%
   wheel-sieve1                8.750            -3.4%
   wheel-sieve2                4.866            +4.8%
           x2n1                0.181            +2.2%
        -1 s.d.                -----            -2.9%
        +1 s.d.                -----           +11.6%
        Average                -----            +4.1%

Elapsed Time

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS                9.779            +2.0%
            CSD               28.835            +0.4%
             FS               19.918            +8.0%
              S               30.886            +3.9%
             VS               67.734            +3.1%
            VSD                0.370            +5.7%
            VSM               59.635            +2.1%
           anna                3.306            +8.7%
           ansi                0.158            +5.1%
           atom                8.018            +0.3%
         awards                0.139            +7.9%
         banner                0.147            +1.4%
     bernouilli                6.765            -9.1%
   binary-trees               22.539            +0.3%
          boyer                1.291            +3.6%
         boyer2                0.376            +2.7%
           bspt                0.427            +5.9%
       calendar                0.143            +4.2%
       cichelli                2.649            +4.0%
        circsim               23.022            +5.3%
       clausify                0.981            +1.1%
  comp_lab_zift                5.108            +3.7%
       compress                4.379            +8.2%
      compress2                3.979            +4.6%
    constraints               79.970            +4.4%
   cryptarithm1               20.409            +2.5%
   cryptarithm2                0.377            +4.0%
            cse                0.242            +2.9%
   digits-of-e1               38.119           -40.1%
   digits-of-e2               34.679            +0.2%
          eliza                0.173            +4.6%
          event                4.230           +17.9%
    exact-reals              118.466           +10.1%
         exp3_8                4.946            +6.9%
         expert                0.204            +2.9%
 fannkuch-redux              128.068            +3.8%
          fasta                7.919            +2.0%
            fem                0.829            +2.5%
            fft                1.094            +4.2%
           fft2                1.642           +27.1%
       fibheaps                0.848            +2.6%
           fish                0.430            +4.9%
          fluid                0.806            +1.2%
         fulsom                7.465            +7.3%
         gamteb                1.374            +2.9%
            gcd                1.271           +28.8%
    gen_regexps                0.112            +5.4%
         genfft                0.991            +3.7%
             gg                0.566            +4.8%
           grep                0.123            +3.3%
         hidden               14.963            +6.6%
            hpg                2.476            +6.7%
            ida                2.363            +5.1%
          infer                1.819            +6.4%
        integer               64.605            +6.2%
      integrate                2.505            +5.1%
   k-nucleotide              142.500            +7.5%
          kahan                5.927           +11.4%
        knights                0.309            +8.1%
         lambda               44.087            +4.5%
     last-piece               16.484            +3.2%
           lcss               11.227            +1.8%
           life                7.736            +5.5%
           lift                0.197            +4.1%
         linear               61.578            +4.9%
      listcompr                2.701            -1.1%
       listcopy                2.710            +5.7%
       maillist                0.811            +7.0%
         mandel                2.437            +7.9%
        mandel2                0.144            +2.1%
           mate              160.037            +4.7%
        minimax                0.253            +2.4%
        mkhprog                0.229            +1.7%
     multiplier                3.045            +5.2%
         n-body               22.768            +3.8%
       nucleic2                2.558            +3.1%
           para                9.178            +0.5%
      paraffins                3.511            -0.9%
         parser                0.995            +3.9%
        parstof                0.374            +4.3%
            pic                0.408            +3.4%
       pidigits               18.377           +12.8%
          power               10.920            +7.5%
         pretty                0.108            +5.6%
         primes                1.824            +5.5%
      primetest                4.362            +2.1%
         prolog                0.347            -4.0%
         puzzle                3.754            +3.2%
         queens                0.456            -0.4%
        reptile                0.540            +3.7%
reverse-complem                3.508            +9.5%
        rewrite                0.695            +7.8%
           rfib                0.401           +28.4%
            rsa                1.180            +2.5%
            scc                0.097            0.103
          sched                0.798            +5.3%
            scs               16.832            +2.2%
         simple                5.790            +4.2%
          solid                4.236            +2.8%
        sorting                0.245            +3.3%
  spectral-norm               26.278            -2.7%
         sphere                2.035            +4.6%
         symalg                0.612            +2.1%
            tak                0.279            +4.7%
      transform                8.893            +4.1%
       treejoin                3.258            +4.8%
      typecheck                6.347            +2.2%
        veritas                0.387            +3.4%
           wang                2.714            +4.6%
      wave4main                8.271            +3.1%
   wheel-sieve1                8.753            -3.4%
   wheel-sieve2                4.869            +4.7%
           x2n1                0.180            +2.8%
        -1 s.d.                -----            -2.9%
        +1 s.d.                -----           +11.6%
        Average                -----            +4.1%

Mutator Time

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS                9.597            +2.1%
            CSD               28.600            +0.3%
             FS               19.660            +8.2%
              S                0.629            +2.5%
             VS               64.260            +3.5%
            VSD                0.316            +6.0%
            VSM               59.311            +2.1%
           anna                2.763            +9.2%
           ansi                0.104            -1.0%
           atom                5.199            -1.9%
         awards                0.085            0.092
         banner                0.089            0.092
     bernouilli                5.178            -8.8%
   binary-trees               10.720            +1.1%
          boyer                0.838            +2.9%
         boyer2                0.228            +3.9%
           bspt                0.268            +6.7%
       calendar                0.089            0.093
       cichelli                2.121            +4.0%
        circsim               14.749            +5.3%
       clausify                0.715            +0.3%
  comp_lab_zift                3.279            +3.9%
       compress                3.426           +10.3%
      compress2                1.029            +4.5%
    constraints               30.798            +4.7%
   cryptarithm1               20.035            +2.3%
   cryptarithm2                0.267            +3.7%
            cse                0.145            +2.1%
   digits-of-e1               23.812           -15.2%
   digits-of-e2               20.959            +0.3%
          eliza                0.119            +4.2%
          event                2.001            +9.4%
    exact-reals              117.232           +10.0%
         exp3_8                4.295            +7.3%
         expert                0.145            +4.8%
 fannkuch-redux              127.860            +3.8%
          fasta                7.774            +2.0%
            fem                0.608            +1.8%
            fft                0.466            +6.0%
           fft2                1.167           +27.3%
       fibheaps                0.556            +4.3%
           fish                0.314            +3.5%
          fluid                0.671            +0.9%
         fulsom                3.614            +7.1%
         gamteb                1.106            +2.5%
            gcd                1.158           +24.5%
    gen_regexps                0.057            0.060
         genfft                0.547            +4.6%
             gg                0.360            +3.6%
           grep                0.068            0.071
         hidden               14.608            +6.6%
            hpg                2.104            +7.7%
            ida                1.896            +5.2%
          infer                1.136            +3.1%
        integer               64.184            +6.1%
      integrate                2.390            +4.8%
   k-nucleotide              142.251            +7.5%
          kahan                5.834           +11.5%
        knights                0.217            +7.8%
         lambda               31.012            +3.6%
     last-piece               13.764            +3.1%
           lcss                2.767            +4.0%
           life                5.112            +4.7%
           lift                0.143            +4.2%
         linear               48.686            +5.1%
      listcompr                2.553            -1.5%
       listcopy                2.548            +5.8%
       maillist                0.575            +8.9%
         mandel                2.264            +8.0%
        mandel2                0.090            0.091
           mate              156.800            +4.6%
        minimax                0.144            +2.1%
        mkhprog                0.120            +3.3%
     multiplier                2.647            +4.8%
         n-body               22.706            +3.8%
       nucleic2                2.390            +2.9%
           para                7.520             0.0%
      paraffins                0.537            -2.0%
         parser                0.722            +3.0%
        parstof                0.236            +5.1%
            pic                0.242            +2.1%
       pidigits               17.827           +12.7%
          power                4.815            +8.9%
         pretty                0.054            0.056
         primes                1.255            +6.1%
      primetest                4.240            +2.1%
         prolog                0.246            -4.1%
         puzzle                3.297            +2.8%
         queens                0.353            -4.0%
        reptile                0.336            +3.0%
reverse-complem                3.396            +9.7%
        rewrite                0.584            +7.2%
           rfib                0.340           +32.4%
            rsa                1.060            +2.5%
            scc                0.043            0.046
          sched                0.673            +3.1%
            scs               12.468            +1.5%
         simple                3.490            +3.6%
          solid                2.592            +3.5%
        sorting                0.144            +4.9%
  spectral-norm               26.221            -2.7%
         sphere                1.917            +4.8%
         symalg                0.551            +2.7%
            tak                0.225            +4.9%
      transform                7.848            +4.1%
       treejoin                1.348            +5.7%
      typecheck                6.122            +1.8%
        veritas                0.289            +1.7%
           wang                1.034            +4.9%
      wave4main                5.752            +2.2%
   wheel-sieve1                8.102            -4.5%
   wheel-sieve2                1.368            +3.9%
           x2n1                0.126            +1.6%
        -1 s.d.                -----            -1.1%
        +1 s.d.                -----            +9.8%
        Average                -----            +4.2%

Mutator Elapsed Time

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS                9.612            +2.0%
            CSD               28.612            +0.3%
             FS               19.675            +8.1%
              S                0.629            +2.4%
             VS               64.301            +3.5%
            VSD                0.316            +6.3%
            VSM               59.329            +2.1%
           anna                2.765            +9.1%
           ansi                0.104            -1.0%
           atom                5.201            -1.9%
         awards                0.085            0.091
         banner                0.090            0.092
     bernouilli                5.179            -8.8%
   binary-trees               10.721            +1.1%
          boyer                0.839            +2.9%
         boyer2                0.229            +3.5%
           bspt                0.268            +6.7%
       calendar                0.089            0.093
       cichelli                2.121            +4.1%
        circsim               14.754            +5.3%
       clausify                0.715            +0.3%
  comp_lab_zift                3.281            +3.8%
       compress                3.430           +10.3%
      compress2                1.030            +4.6%
    constraints               30.809            +4.7%
   cryptarithm1               20.040            +2.4%
   cryptarithm2                0.269            +2.6%
            cse                0.145            +2.1%
   digits-of-e1               23.816           -15.2%
   digits-of-e2               20.969            +0.3%
          eliza                0.119            +5.0%
          event                2.001            +9.4%
    exact-reals              117.267           +10.0%
         exp3_8                4.297            +7.4%
         expert                0.147            +3.4%
 fannkuch-redux              127.897            +3.8%
          fasta                7.777            +2.0%
            fem                0.608            +2.0%
            fft                0.466            +6.0%
           fft2                1.167           +27.4%
       fibheaps                0.557            +4.3%
           fish                0.314            +3.8%
          fluid                0.673            +0.9%
         fulsom                3.617            +7.1%
         gamteb                1.106            +2.7%
            gcd                1.158           +24.4%
    gen_regexps                0.058            0.061
         genfft                0.548            +4.4%
             gg                0.361            +3.6%
           grep                0.068            0.071
         hidden               14.612            +6.7%
            hpg                2.105            +7.6%
            ida                1.896            +5.4%
          infer                1.137            +2.8%
        integer               64.188            +6.2%
      integrate                2.391            +4.8%
   k-nucleotide              142.270            +7.5%
          kahan                5.835           +11.5%
        knights                0.217            +7.8%
         lambda               31.020            +3.6%
     last-piece               13.764            +3.2%
           lcss                2.763            +4.3%
           life                5.113            +4.8%
           lift                0.143            +4.2%
         linear               48.700            +5.1%
      listcompr                2.554            -1.5%
       listcopy                2.552            +5.8%
       maillist                0.576            +8.7%
         mandel                2.266            +8.1%
        mandel2                0.090            0.091
           mate              156.821            +4.6%
        minimax                0.144            +1.4%
        mkhprog                0.120            +4.2%
     multiplier                2.647            +5.0%
         n-body               22.714            +3.8%
       nucleic2                2.391            +3.0%
           para                7.523            -0.1%
      paraffins                0.537            -2.0%
         parser                0.722            +3.7%
        parstof                0.236            +5.1%
            pic                0.242            +2.1%
       pidigits               17.831           +12.7%
          power                4.818            +8.8%
         pretty                0.054            0.056
         primes                1.256            +5.9%
      primetest                4.243            +2.1%
         prolog                0.247            -4.0%
         puzzle                3.299            +2.8%
         queens                0.353            -4.0%
        reptile                0.337            +2.7%
reverse-complem                3.399            +9.6%
        rewrite                0.585            +7.2%
           rfib                0.340           +32.6%
            rsa                1.061            +2.5%
            scc                0.043            0.046
          sched                0.672            +3.4%
            scs               12.473            +1.5%
         simple                3.493            +3.5%
          solid                2.592            +3.6%
        sorting                0.144            +4.9%
  spectral-norm               26.224            -2.7%
         sphere                1.918            +4.7%
         symalg                0.552            +2.7%
            tak                0.225            +4.9%
      transform                7.855            +4.0%
       treejoin                1.349            +5.8%
      typecheck                6.126            +1.9%
        veritas                0.290            +1.4%
           wang                1.035            +4.7%
      wave4main                5.755            +2.2%
   wheel-sieve1                8.106            -4.5%
   wheel-sieve2                1.368            +4.0%
           x2n1                0.126            +1.6%
        -1 s.d.                -----            -1.1%
        +1 s.d.                -----            +9.8%
        Average                -----            +4.2%

GC Time

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS                0.109            +0.9%
            CSD                0.170           +12.9%
             FS                0.179            +8.4%
              S               30.187            +4.0%
             VS                3.377            -4.0%
            VSD                0.000            0.000
            VSM                0.251           +10.0%
           anna                0.487            +5.7%
           ansi                0.000            0.000
           atom                2.761            +4.4%
         awards                0.000            0.000
         banner                0.000            0.000
     bernouilli                1.514            -9.5%
   binary-trees               11.749            -0.6%
          boyer                0.398            +5.0%
         boyer2                0.092            0.094
